,created_at,positive,neutral,negative,count
0,2021-10-01 00,0.0723103448275862,0.8807413793103448,0.02967241379310345,58
1,2021-10-01 01,0.10869620253164557,0.8725316455696204,0.018759493670886074,79
2,2021-10-01 02,0.073,0.8961500000000001,0.03085,40
3,2021-10-01 03,0.09083333333333334,0.8828148148148147,0.026351851851851852,54
4,2021-10-01 04,0.0637027027027027,0.9044054054054055,0.03189189189189189,37
5,2021-10-01 05,0.03935,0.89245,0.0682,20
6,2021-10-01 06,0.06708,0.9304399999999999,0.00248,25
7,2021-10-01 07,0.11957142857142856,0.8700000000000001,0.010448979591836735,49
8,2021-10-01 08,0.11156,0.87976,0.00868,25
9,2021-10-01 09,0.02675,0.94028125,0.033,32
10,2021-10-01 10,0.04448275862068966,0.9271724137931036,0.028362068965517243,58
11,2021-10-01 11,0.11245,0.8506333333333332,0.03693333333333334,60
12,2021-10-01 12,0.07605813953488373,0.9072906976744186,0.016651162790697675,86
13,2021-10-01 13,0.079944,0.897672,0.022359999999999998,125
14,2021-10-01 14,0.09605434782608695,0.8671304347826087,0.03680434782608696,92
15,2021-10-01 15,0.08303333333333333,0.9017666666666667,0.015177777777777776,90
16,2021-10-01 16,0.09165116279069767,0.8710232558139535,0.014058139534883721,86
17,2021-10-01 17,0.08480555555555555,0.9012083333333334,0.014,72
18,2021-10-01 18,0.11524691358024693,0.8486049382716049,0.0361358024691358,81
19,2021-10-01 19,0.09258333333333334,0.8857916666666666,0.021555555555555557,72
20,2021-10-01 20,0.1438125,0.8464062499999999,0.009791666666666667,96
21,2021-10-01 21,0.08547572815533981,0.880242718446602,0.014864077669902913,103
22,2021-10-01 22,0.11876543209876544,0.8580617283950618,0.023185185185185184,81
23,2021-10-01 23,0.12366129032258064,0.7905645161290322,0.03738709677419355,62
0,2021-10-04 00,0.08678823529411764,0.7537764705882353,0.01827058823529412,85
1,2021-10-04 01,0.1183030303030303,0.662621212121212,0.06756060606060606,66
2,2021-10-04 02,0.11943243243243243,0.8237567567567567,0.029756756756756757,37
3,2021-10-04 03,0.06773529411764706,0.8624705882352942,0.04047058823529411,34
4,2021-10-04 04,0.12986666666666666,0.8578666666666667,0.012333333333333333,30
5,2021-10-04 05,0.05656666666666667,0.9105333333333333,0.032933333333333335,30
6,2021-10-04 06,0.08236842105263158,0.8926315789473684,0.024999999999999998,19
7,2021-10-04 07,0.058272727272727275,0.9230909090909091,0.018545454545454546,11
8,2021-10-04 08,0.03333333333333333,0.9353333333333333,0.03125,12
9,2021-10-04 09,0.03323076923076923,0.9310384615384616,0.03573076923076923,26
10,2021-10-04 10,0.09214035087719298,0.8833333333333333,0.024508771929824563,57
11,2021-10-04 11,0.05645945945945946,0.893918918918919,0.04967567567567568,37
12,2021-10-04 12,0.09101666666666668,0.8829833333333333,0.02596666666666667,60
13,2021-10-04 13,0.07701428571428572,0.8745285714285714,0.03414285714285714,70
14,2021-10-04 14,0.13946341463414635,0.8070609756097561,0.05347560975609756,82
15,2021-10-04 15,0.1258923076923077,0.8396153846153847,0.03450769230769231,65
