,created_at,positive,neutral,negative,count
0,2021-10-01 00,0.08379166666666667,0.9118750000000001,0.004333333333333334,24
1,2021-10-01 01,0.04075,0.92675,0.0325,8
2,2021-10-01 02,0.015875,0.96975,0.014375,8
3,2021-10-01 03,0.07188235294117647,0.9281176470588236,0.0,17
4,2021-10-01 04,0.02727272727272727,0.9490909090909091,0.023636363636363636,11
5,2021-10-01 05,0.014599999999999998,0.9853999999999999,0.0,10
6,2021-10-01 06,0.03414285714285714,0.9258571428571428,0.04,7
7,2021-10-01 07,0.0895,0.9105000000000001,0.0,10
8,2021-10-01 08,0.0,0.5,0.0,2
9,2021-10-01 09,0.04722222222222222,0.8992222222222223,0.05355555555555555,9
10,2021-10-01 10,0.0819375,0.91225,0.00575,16
11,2021-10-01 11,0.015285714285714288,0.9702857142857143,0.01442857142857143,14
12,2021-10-01 12,0.07405882352941177,0.8934705882352941,0.032529411764705876,17
13,2021-10-01 13,0.06211111111111111,0.8652962962962962,0.0725925925925926,27
14,2021-10-01 14,0.04761290322580645,0.937483870967742,0.014903225806451611,31
15,2021-10-01 15,0.02032,0.9686400000000001,0.011040000000000001,25
16,2021-10-01 16,0.033523809523809525,0.9464285714285714,0.02004761904761905,21
17,2021-10-01 17,0.07143333333333332,0.9106666666666666,0.017900000000000003,30
18,2021-10-01 18,0.04186486486486486,0.831972972972973,0.12616216216216217,37
19,2021-10-01 19,0.08436363636363636,0.8673030303030302,0.04827272727272727,33
20,2021-10-01 20,0.034708333333333334,0.9200416666666666,0.04520833333333333,24
21,2021-10-01 21,0.0645,0.895,0.04054166666666666,24
22,2021-10-01 22,0.06728571428571428,0.8767619047619047,0.055952380952380955,21
23,2021-10-01 23,0.10916666666666668,0.838625,0.052208333333333336,24
0,2021-10-04 00,0.0918235294117647,0.8950588235294118,0.013058823529411765,17
1,2021-10-04 01,0.12971428571428573,0.7824285714285715,0.08785714285714286,7
2,2021-10-04 02,0.18635714285714286,0.647,0.16664285714285715,14
