,created_at,positive,neutral,negative,count
0,2021-10-01 04,0.0,1.0,0.0,1
1,2021-10-01 05,0.0,1.0,0.0,1
2,2021-10-01 09,0.0,1.0,0.0,1
3,2021-10-01 10,0.382,0.618,0.0,1
4,2021-10-01 12,0.0,0.873,0.127,4
5,2021-10-01 13,0.0,1.0,0.0,1
6,2021-10-01 14,0.2185,0.7095,0.072,2
7,2021-10-01 16,0.0,1.0,0.0,1
8,2021-10-01 17,0.09266666666666667,0.9073333333333333,0.0,6
9,2021-10-01 20,0.1645,0.8355,0.0,2
10,2021-10-01 21,0.052840000000000005,0.90932,0.037840000000000006,25
11,2021-10-01 22,0.03452941176470588,0.9550294117647058,0.010499999999999999,34
12,2021-10-01 23,0.12390476190476189,0.8736190476190476,0.0025238095238095237,21
0,2021-10-04 00,0.186,0.814,0.0,1
1,2021-10-04 01,0.06975,0.81475,0.1155,4
2,2021-10-04 02,0.11739999999999999,0.8068,0.076,5
3,2021-10-04 03,0.0,0.769,0.231,2
4,2021-10-04 05,0.0,0.769,0.231,2
5,2021-10-04 06,0.0182,0.8560000000000001,0.1258,5
6,2021-10-04 07,0.0,0.769,0.231,1
7,2021-10-04 08,0.0,0.8845000000000001,0.1155,2
8,2021-10-04 09,0.0,0.769,0.231,1
9,2021-10-04 10,0.05933333333333333,0.91,0.030666666666666665,3
10,2021-10-04 11,0.046000000000000006,0.8923333333333333,0.06166666666666667,3
11,2021-10-04 12,0.05516666666666667,0.9235000000000001,0.021333333333333333,6
12,2021-10-04 13,0.209125,0.7338749999999999,0.056875,8
13,2021-10-04 14,0.02457142857142857,0.9475714285714286,0.027857142857142858,14
14,2021-10-04 15,0.0335,0.9665,0.0,4
15,2021-10-04 16,0.0616,0.9384,0.0,5
16,2021-10-04 17,0.0825,0.8795000000000001,0.038,6
17,2021-10-04 19,0.0,1.0,0.0,2
18,2021-10-04 20,0.06666666666666667,0.7639999999999999,0.16933333333333334,3
19,2021-10-04 21,0.0825,0.85575,0.06175,4
20,2021-10-04 22,0.0,0.791,0.209,1
21,2021-10-04 23,0.1865,0.8135,0.0,2
