,created_at,positive,neutral,negative,count
0,2021-10-01 00,0.08303294117647059,0.8853317647058824,0.03165176470588235,425
1,2021-10-01 01,0.08967808219178082,0.8597928082191781,0.04709931506849315,584
2,2021-10-01 02,0.07672818791946308,0.8774697986577181,0.045802013422818796,298
3,2021-10-01 03,0.09380060422960725,0.8669607250755287,0.039238670694864045,331
4,2021-10-01 04,0.08316632443531828,0.8828870636550308,0.033934291581108826,487
5,2021-10-01 05,0.06701442307692308,0.9077596153846154,0.02520673076923077,208
6,2021-10-01 06,0.07426540284360189,0.8992559241706161,0.02647867298578199,211
7,2021-10-01 07,0.09078987341772152,0.8704658227848101,0.038744303797468356,395
8,2021-10-01 08,0.08217857142857143,0.8925571428571428,0.02522142857142857,140
9,2021-10-01 09,0.0923609756097561,0.8776390243902439,0.030000000000000002,205
10,2021-10-01 10,0.08756808510638298,0.8663808510638298,0.043925531914893616,470
11,2021-10-01 11,0.09852162162162163,0.8717243243243243,0.029770270270270273,370
12,2021-10-01 12,0.08835208333333333,0.8834791666666667,0.028177083333333335,480
13,2021-10-01 13,0.08308152866242037,0.8799617834394904,0.03441528662420382,785
14,2021-10-01 14,0.08584984025559105,0.8735862619808307,0.040549520766773164,626
15,2021-10-01 15,0.08841722972972973,0.8824222972972973,0.02916216216216216,592
16,2021-10-01 16,0.07953680430879713,0.8935655296229803,0.026915619389587076,557
17,2021-10-01 17,0.08898275862068965,0.8811228448275862,0.02989008620689655,464
18,2021-10-01 18,0.07792975206611572,0.8836797520661157,0.03840082644628099,484
19,2021-10-01 19,0.07949019607843137,0.8871691176470587,0.03333578431372549,408
20,2021-10-01 20,0.09853960396039604,0.8731163366336633,0.028336633663366338,404
21,2021-10-01 21,0.0865764705882353,0.8697088235294118,0.04370588235294118,340
22,2021-10-01 22,0.10678,0.859664,0.033532000000000006,250
23,2021-10-01 23,0.11010714285714286,0.8600714285714286,0.029839285714285714,224
0,2021-10-04 00,0.059289370078740154,0.9160984251968504,0.024624015748031497,508
1,2021-10-04 01,0.06565533980582525,0.9071407766990291,0.022354368932038838,412
2,2021-10-04 02,0.08001435406698564,0.8892105263157895,0.028380382775119617,418
3,2021-10-04 03,0.07613669064748202,0.9042841726618704,0.0195863309352518,278
4,2021-10-04 04,0.0798188679245283,0.8948792452830189,0.02530943396226415,265
5,2021-10-04 05,0.07677981651376146,0.892651376146789,0.025990825688073396,218
6,2021-10-04 06,0.07651075268817205,0.8883655913978494,0.02975268817204301,186
7,2021-10-04 07,0.07722346368715084,0.8939553072625699,0.02881564245810056,179
8,2021-10-04 08,0.07400000000000001,0.8976696035242291,0.0283215859030837,227
9,2021-10-04 09,0.07092213114754098,0.901594262295082,0.027479508196721313,244
10,2021-10-04 10,0.09105084745762712,0.8765021186440678,0.03244491525423729,472
11,2021-10-04 11,0.07793390804597701,0.8774238505747126,0.0431867816091954,696
12,2021-10-04 12,0.08414477766287487,0.8787290589451913,0.03711789038262668,967
13,2021-10-04 13,0.08773803363518758,0.8667276843467012,0.04423544631306598,1546
14,2021-10-04 14,0.10690303907380609,0.8468031837916064,0.0462684515195369,1382
15,2021-10-04 15,0.08895404411764705,0.8703354779411764,0.04069852941176471,1088
16,2021-10-04 16,0.09441436464088397,0.8558088397790055,0.04973922651933702,905
17,2021-10-04 17,0.10704446854663774,0.8516095444685466,0.03915401301518438,922
